date,duration(min)
2017-12-01 07:26:00 PM,381
2017-12-01 12:25:00 PM,95
2017-11-30 07:31:00 PM,674
2017-11-30 12:26:00 PM,95
2017-11-29 07:30:00 PM,677
2017-11-29 12:20:00 PM,81
2017-11-28 07:14:00 PM,736
2017-11-28 01:11:00 PM,60
2017-11-27 07:36:00 PM,708
2017-11-27 03:21:00 PM,48
2017-11-27 10:32:00 AM,98
2017-11-27 06:39:00 AM,84
2017-11-26 07:35:00 PM,644
2017-11-26 02:37:00 PM,85
2017-11-26 09:34:00 AM,99
2017-11-25 07:14:00 PM,706
2017-11-25 01:22:00 PM,81
2017-11-25 09:00:00 AM,60
2017-11-25 06:30:00 AM,40
2017-11-25 05:25:00 AM,12
2017-11-25 05:15:00 AM,46
2017-11-25 04:33:00 AM,10
2017-11-24 07:32:00 PM,494
2017-11-24 12:46:00 PM,95
2017-11-24 08:24:00 AM,71
2017-11-24 08:08:00 AM,9
2017-11-23 07:16:00 PM,661
2017-11-23 12:40:00 PM,75
2017-11-23 07:43:00 AM,37
2017-11-22 07:56:00 PM,595
2017-11-22 05:04:00 PM,57
2017-11-22 01:58:00 PM,44
2017-11-22 09:45:00 AM,95
2017-11-22 03:32:00 AM,230
2017-11-21 07:51:00 PM,450
2017-11-21 04:23:00 PM,62
2017-11-21 10:28:00 AM,128
2017-11-21 03:00:00 AM,273
2017-11-20 07:14:00 PM,440
2017-11-20 12:58:00 PM,97
2017-11-20 09:15:00 AM,45
2017-11-19 07:23:00 PM,688
2017-11-19 06:50:00 PM,31
2017-11-19 01:07:00 PM,111
2017-11-19 09:26:00 AM,65
2017-11-19 08:56:00 AM,26
2017-11-18 08:33:00 PM,587
2017-11-18 06:50:00 PM,101
2017-11-18 02:52:00 PM,30
2017-11-18 02:10:00 PM,35
2017-11-18 10:02:00 AM,36
2017-11-17 09:48:00 PM,538
2017-11-17 07:53:00 PM,103
2017-11-17 07:33:00 PM,15
2017-11-17 07:04:00 PM,28
2017-11-17 03:17:00 PM,34
2017-11-17 12:08:00 PM,43
2017-11-17 08:54:00 AM,65
2017-11-16 07:25:00 PM,670
2017-11-16 12:30:00 PM,56
2017-11-16 08:35:00 AM,72
2017-11-16 07:14:00 AM,12
2017-11-16 05:39:00 AM,54
2017-11-16 02:37:00 AM,176
2017-11-16 02:10:00 AM,7
2017-11-16 01:41:00 AM,6
2017-11-16 01:02:00 AM,33
2017-11-16 12:17:00 AM,15
2017-11-15 07:25:00 PM,288
2017-11-15 07:08:00 PM,11
2017-11-15 04:42:00 PM,14
2017-11-15 12:33:00 PM,62
2017-11-15 08:44:00 AM,50
2017-11-14 07:30:00 PM,660
2017-11-14 04:47:00 PM,45
2017-11-14 01:13:00 PM,37
2017-11-14 08:27:00 AM,92
2017-11-14 05:41:00 AM,50
2017-11-13 07:30:00 PM,600
2017-11-13 02:29:00 PM,77
2017-11-13 09:37:00 AM,96
2017-11-12 07:55:00 PM,648
2017-11-12 03:29:00 PM,91
2017-11-12 11:24:00 AM,77
2017-11-12 07:37:00 AM,65
2017-11-11 07:39:00 PM,661
2017-11-11 03:06:00 PM,76
2017-11-11 09:48:00 AM,106
2017-11-10 07:59:00 PM,682
2017-11-10 07:46:00 PM,13
2017-11-10 12:45:00 PM,40
2017-11-10 08:16:00 AM,90
2017-11-10 02:52:00 AM,224
2017-11-09 07:03:00 PM,427
2017-11-09 01:01:00 PM,60
2017-11-08 06:57:00 PM,730
2017-11-08 12:45:00 PM,62
2017-11-07 07:56:00 PM,734
2017-11-07 02:27:00 PM,129
2017-11-07 09:30:00 AM,87
2017-11-06 08:06:00 PM,651
2017-11-06 04:01:00 PM,50
